"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","Негован","Нови Искър","176 ОУ","неспециализирано","обединено","Общинско"
"София-град","Столична","Световрачене","Нови Искър","177 ОУ Св.Св.Кирил и Методий","неспециализирано","основно","Общинско"
"София-град","Столична","Доброславци","Нови Искър","179 ОУ ""Васил Левски""","неспециализирано","основно","Общинско"
"София-град","Столична","Нови Искър","Нови Искър","ДГ№135","детска градина","детска градина","Общинско"
"София-град","Столична","Нови Искър","Нови Искър","ДГ №102 ""Кременица""","детска градина","детска градина","Общинско"
"София-град","Столична","Световрачене","Нови Искър","ДГ № 114 ""Светулка""","детска градина","детска градина","Общинско"
"София-град","Столична","Чепинци","Нови Искър","ДГ № 132","детска градина","детска градина","Общинско"
"София-град","Столична","Нови Искър","Нови Искър","ДГ №121","детска градина","детска градина","Общинско"
"София-град","Столична","Нови Искър","Нови Искър","ДГ№157","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","1 СУ ""Пенчо П. Славейков""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Оборище","112 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Оборище","129 ОУ ""Антим -І""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Оборище","164 ГПИЕ","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Оборище","Първа АЕГ","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Оборище","СМГ ""Паисий Хилендарски""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Оборище","IVСВГ","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Оборище","ЧАСТНА ДЕТСКА ГРАДИНА ""АРТИ""","детска градина","детска градина","Частно"
"София-град","Столична","София","Оборище","ПГМЕ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Оборище","СПГТ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Витоша","ЧСУ ""УВЕКИНД""","неспециализирано","средно","Частно"
"София-град","Столична","София","Оборище","ПЧАГ ""Уилям Шекспир-Инт. Инв.""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Оборище","ЧДГ""Славейче""","детска градина","детска градина","Частно"
"София-град","Столична","София","Оборище","ДЛЦ","специализирано обслужващо звено","Държавен логопедичен център","Държавно"
"София-град","Столична","София","Оборище","ЧДГ ""Къщата на Алиса""","детска градина","детска градина","Частно"
"София-град","Столична","София","Оборище","ДГ №191","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","ДГ № 100","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","ДГ №195","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","ДГ 151 ""ЛЕДА МИЛЕВА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","53 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Овча Купел","66 СУ ""Филип Станиславов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Овча Купел","72 ОУ "" Христо Ботев ""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Овча Купел","88. СУ ""Д. Попниколов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Овча Купел","149 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Овча Купел","Национално СУ ""София""","неспециализирано","средно","Държавно"
"София-град","Столична","София","Овча Купел","ПГЕА","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Овча Купел","ПГСС ""БУЗЕМА""","неспециализирано","професионална гимназия","Общинско"
"София-град","Столична","София","Овча Купел","ЧОУ ""Монтесори""","неспециализирано","основно","Частно"
"София-град","Столична","София","Студентски","ЧДГ Светлина","детска градина","детска градина","Частно"
"София-град","Столична","София","Овча Купел","ЧДГ ""МОНТЕСОРИ ХАЙ""","детска градина","детска градина","Частно"
"София-град","Столична","София","Витоша","ЧОУ ""Томас Едисън""","неспециализирано","основно","Частно"
"София-град","Столична","София","Овча Купел","ЧДГ Монтесори","детска градина","детска градина","Частно"
"София-град","Столична","София","Овча Купел","ДДГ ""Средец"" към МО","детска градина","детска градина","Държавно"
"София-град","Столична","София","Овча Купел","ДГ 84 "" ДЕТЕЛИНА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 125 ""УСМИВКА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 161"" ЛАСКА ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 9 ""Пламъче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 164 ""Зорница""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 33","детска градина","детска градина","Общинско"
"София-град","Столична","София","Овча Купел","ДГ № 39"" ПРОЛЕТ ""","детска градина","детска градина","Общинско"
"София-град","Столична","Казичене","Панчарево","71 СУ ""П.Яворов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Панчарево","83. ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Герман","Панчарево","84. ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Железница","Панчарево","191 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Бистрица","Панчарево","192.СУ","неспециализирано","средно","Общинско"
"София-град","Столична","Лозен","Панчарево","200 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Лозен","Панчарево","201 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Долни Пасарел","Панчарево","202 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Казичене","Панчарево","СУ ""Св.Иван Рилски""","училище към местата за лишаване от свобода","към местата за лишаване от свобода","Държавно"
"София-град","Столична","София","Панчарево","ЧОУ ""Изгрев""","неспециализирано","основно","Частно"
"София-град","Столична","Казичене","Панчарево","ДГ -3","детска градина","детска градина","Общинско"
"София-град","Столична","Бистрица","Панчарево","ДГ №143""Щурче""","детска градина","детска градина","Общинско"
"София-град","Столична","Лозен","Панчарево","ДГ №97 ""Изгрев""","детска градина","детска градина","Общинско"
"София-град","Столична","Герман","Панчарево","ДГ № 180","детска градина","детска градина","Общинско"
"София-град","Столична","Железница","Панчарево","ДГ№181""Радост""","детска градина","детска градина","Общинско"
"София-град","Столична","Панчарево","Панчарево","ДГ №66","детска градина","детска градина","Общинско"
"София-град","Столична","Долни Пасарел","Панчарево","ДГ №182 ""Пчелица""","детска градина","детска градина","Общинско"
"София-град","Столична","Панчарево","Панчарево","ЧДГ ""Слънчогледи""","детска градина","детска градина","Частно"
"София-град","Столична","София","Подуяне","24 СУ ""П. К. Яворов ""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Подуяне","42 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","44. СУ ""НЕОФИТ БОЗВЕЛИ""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Подуяне","49-то ОУ ""Бенито Хуарес""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","95 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Подуяне","106 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","124 ОУ ""Васил Левски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","130. СУ ""Стефан Караджа""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Подуяне","143. ОУ "" Г. Бенковски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","166 СУ ""В.Левски""","специализирано","спортно","Общинско"
"София-град","Столична","София","Подуяне","199 ОУ Св. Ап. Й. Богослов","неспециализирано","основно","Общинско"
"София-град","Столична","София","Подуяне","ДГ № 92 ""МЕЧТА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ №20","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ № 91","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ №110","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ № 148","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ 173","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ № 177 Лютиче","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ №103","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ №105","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","ДГ №69""Жар птица""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Подуяне","Д Г № 74","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","14. СУ ""Проф. д-р А. Златаров""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Сердика","29. СУ ""Кузман Шапкарев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Сердика","48 ОУ ""Й. Ковачев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Сердика","58 ОУ ""Сергей Румянцев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Сердика","59 ОбУ ""Васил Левски""","неспециализирано","обединено","Общинско"
"София-град","Столична","София","Сердика","60 ОУ ""Св.св.Кирил и Методий""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Сердика","100-но ОУ ""Н. Геров""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Сердика","ПГИИ ""Проф. Н. Райнов""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Сердика","ПГЖПТ""Никола Корчев""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Сердика","ЧДГ""Пресвета Богородица EOOД""","детска градина","детска градина","Частно"
"София-град","Столична","София","Сердика","ДДГ ""Слава"" към МО","детска градина","детска градина","Държавно"
"София-град","Столична","София","Сердика","ЧДГ ""Веда""","детска градина","детска градина","Частно"
"София-град","Столична","София","Сердика","ДГ № 45 ""АЛИСА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","ДГ № 199 ""Сарагоса""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","Детска градина № 106","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","ДГ № 118""УСМИВКА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","ДГ № 63 ""Слънце""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","ДГ № 48 ""Братя Грим""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Сердика","Детска градина № 53","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","23 СУ ""Фредерик Ж.-Кюри""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Слатина","31СУЧЕМ ""Иван Вазов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Слатина","93 СУ ""Ал. Теодоров - Балан""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Слатина","94 СУ ""Д.Страшимиров""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Слатина","109 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Слатина","138.СУЗИЕ ""Проф.В.Златарски""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Слатина","148 ОУ ""Проф. д-р Л. Милетич""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Слатина","157 ГИЧЕ ""Сесар Вайехо""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Слатина","ПГТ ""МАКГАХАН""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Слатина","ЧОУ Образователни технологии","неспециализирано","основно","Частно"
"София-град","Столична","София","Красно село","ПЧМГ ООД","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Слатина","ЧПГ ""Образователни технологии""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Слатина","ЧОУ ""Джани РоДари"" ЕООД","неспециализирано","основно","Частно"
"София-град","Столична","София","Слатина","Доверие","детска градина","детска градина","Частно"
"София-град","Столична","София","Красно село","ЧНУ ""Питагор"" ООД","неспециализирано","начално","Частно"
"София-град","Столична","София","Слатина","ЧДГ МЕЧО ПУХ","детска градина","детска градина","Частно"
"София-град","Столична","София","Слатина","ДГ №154","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ № 62 ""ЗОРНИЦА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ №168","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ №183","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ № 61 ""Шарено петле""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","Детска градина № 65","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ №184 ""МЕЧО ПУХ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Слатина","ДГ №155 ""Веселина""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Средец","6 ОУ ""Граф Игнатиев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Средец","7. СУ ""Свети Седмочисленици""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Средец","9 ФЕГ","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Средец","12 СУ ""Цар Иван Асен ІІ""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Средец","38ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Средец","127 СРЕДНО УЧИЛИЩЕ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Средец","133 СУ ""А.С.Пушкин""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Средец","ДГ №159 "" Олимпийче ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Средец","ДГ № 77 ""Магнолия""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Средец","ДГ № 18","детска градина","детска градина","Общинско"
"София-град","Столична","София","Средец","ДГ № 113 ""Преспа""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","8. СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Студентски","55 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Студентски","ПГ по телекомуникации","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Студентски","ЧЕГ ""Проф.д-р В. Златарски""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Студентски","ДГ №72","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ЧДГ"" Детска къща Монтесори""","детска градина","детска градина","Частно"
"София-град","Столична","София","Студентски","ДГ №12 ""Лилия""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","ДГ №16 "" ПРИКАЗЕН СВЯТ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","ДГ №10","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","ДГ № 78 ""Детски свят""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","ДГ №79 ""Слънчице""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","20 ОУ ""Тодор Минков""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Триадица","22 СЕУ ""Г. С. Раковски""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Триадица","41 0У ""Св. Патриарх Евтимий""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Триадица","47СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Триадица","73. СУ ""Владислав Граматик""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Триадица","104 ОУ ""Захари Стоянов""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Триадица","121 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Триадица","126 ОУ ""П. Ю. Тодоров""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Триадица","ПГД ""Елисавета Вазова""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Триадица","НТБГ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Триадица","Частно СУ "" Артис""","неспециализирано","средно","Частно"
"София-град","Столична","София","Триадица","ЧПГ по БДТФ","неспециализирано","професионална гимназия","Частно"
"София-град","Столична","София","Младост","ЧОУ ""Куест""","неспециализирано","основно","Частно"
"София-град","Столична","София","Триадица","Мечтател","детска градина","детска градина","Частно"
"София-град","Столична","София","Триадица","ЧОУ ""Прогресивно образование""","неспециализирано","основно","Частно"
"София-град","Столична","София","Триадица","ЦПЛР- СШ ""София""","център за подкрепа за личностно развитие","център за подкрепа за личностно развитие","Общинско"
"София-град","Столична","София","Триадица","ЧДГ ""Пролет""","детска градина","детска градина","Частно"
"София-град","Столична","София","Триадица","ЧЦДГ"" Мария Магдалена""","детска градина","детска градина","Частно"
"София-град","Столична","София","Триадица","ДГ №2 "" ЗВЪНЧЕ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ №129","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ № 43 ""ТАЛАНТ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ № 127 ""Слънце""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ№167""МАЛКИЯТ ПРИНЦ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ №7 ""Детелина""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ № 40 ""Проф.Г.Ангушев""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Триадица","ДГ № 87","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","НМУ","специализирано","по изкуствата","Държавно"
"София-град","Столична","София","Слатина","НУТИ","специализирано","по изкуствата","Държавно"
"София-град","Столична","София","Средец","НУИИ ""Илия Петров""","специализирано","по изкуствата","Държавно"
"София-град","Столична","София","Възраждане","НГПИ ""СВ. ЛУКА"" - СОФИЯ","специализирано","по изкуствата","Държавно"
"София-град","Столична","София","Триадица","НПГПФ","специализирано","по изкуствата","Държавно"
"София-град","Столична","София","Овча Купел","НУККЛИИЕК","специализирано","по културата","Държавно"
"София-град","Столична","София","Връбница","НГДЕК Константин Кирил Философ","специализирано","по културата","Държавно"
